aimee_mann,the_big_lebowski,nihilist_woman,Aimee,Mann
jennifer_lamb,the_big_lebowski,pancake_waitress,Jennifer,Lamb
wendy_braun,the_big_lebowski,chorine_dancer,Wendy,Braun
asia_carrera,the_big_lebowski,sherry_in_logjammin,Asia,Carrera
kiva_dawson,the_big_lebowski,dancer,Kiva,Dawson
robin_johnson,the_big_lebowski,checker_at_ralph_s,Robin,Johnson
frances_mcdormand,blood_simple,abby,Frances,McDormand
deborah_neumann,blood_simple,debra,Deborah,Neumann
raquel_gavia,blood_simple,landlady,Raquel,Gavia
shannon_sedwick,blood_simple,stripper,Shannon,Sedwick
nancy_finger,blood_simple,girl_on_overlook,Nancy,Finger
holly_hunter,blood_simple,helene_trend,Holly,Hunter
diane_lane,the_cotton_club,vera_cicero,Diane,Lane
lonette_mckee,the_cotton_club,lila_rose_oliver,Lonette,McKee
gwen_verdon,the_cotton_club,tish_dwyer,Gwen,Verdon
lisa_jane_persky,the_cotton_club,frances_flegenheimer,Lisa,Persky
novella_nelson,the_cotton_club,madame_st_clair,Novella,Nelson
jennifer_grey,the_cotton_club,patsy_dwyer,Jennifer,Grey
wynonna_smith,the_cotton_club,winnie_williams,Wynonna,Smith
thelma_carpenter,the_cotton_club,norma_williams,Thelma,Carpenter
diane_venora,the_cotton_club,gloria_swanson,Diane,Venora
sandra_beall,the_cotton_club,myrtle_fay,Sandra,Beall
susan_mechsner,the_cotton_club,gypsie,Susan,Mechsner
norma_jean_darden,the_cotton_club,elda_webb,Norma,Darden
rosalind_harris,the_cotton_club,fanny_brice,Rosalind,Harris
sofia_coppola,the_cotton_club,child_in_street,Sofia,Coppola
ninon_digiorgio,the_cotton_club,child_in_street,Ninon,Digiorgio
daria_hines,the_cotton_club,child_in_street,Daria,Hines
patricia_letang,the_cotton_club,child_in_street,Patricia,LeTang
danielle_osborne,the_cotton_club,child_in_street,Danielle,Osborne
priscilla_baskerville,the_cotton_club,creole_love_call_sung_by,Priscilla,Baskerville
ethel_beatty,the_cotton_club,bandana_babies_lead_vocal_dancer,Ethel,Beatty
sydney_goldsmith,the_cotton_club,barbecue_bess_sung_by,Sydney,Goldsmith
lydia_abarca,the_cotton_club,dancer,Lydia,Abarca
sarita_allen,the_cotton_club,dancer,Sarita,Allen
tracey_bass,the_cotton_club,dancer,Tracey,Bass
jacquelyn_bird,the_cotton_club,dancer,Jacquelyn,Bird
shirley_black_brown,the_cotton_club,dancer,Shirley,Brown
jhoe_breedlove,the_cotton_club,dancer,Jhoe,Breedlove
leslie_caldwell,the_cotton_club,dancer,Leslie,Caldwell
melanie_caldwell,the_cotton_club,dancer,Melanie,Caldwell
sheri_cowart,the_cotton_club,dancer,Sheri,Cowart
karen_dibianco,the_cotton_club,dancer,Karen,DiBianco
cisco_drayton,the_cotton_club,dancer,Cisco,Drayton
anne_duquesnay,the_cotton_club,dancer,Anne,Duquesnay
carla_earle,the_cotton_club,dancer,Carla,Earle
wendy_edmead,the_cotton_club,dancer,Wendy,Edmead
debbie_fitts,the_cotton_club,dancer,Debbie,Fitts
ruthanna_graves,the_cotton_club,dancer,Ruthanna,Graves
terri_griffin,the_cotton_club,dancer,Terri,Griffin
robin_harmon,the_cotton_club,dancer,Robin,Harmon
jackee_harree,the_cotton_club,dancer,Jackee,Harree
sonya_hensley,the_cotton_club,dancer,Sonya,Hensley
gail_kendricks,the_cotton_club,dancer,Gail,Kendricks
christina_kumi_kimball,the_cotton_club,dancer,Christina,Kimball
mary_beth_kurdock,the_cotton_club,dancer,Mary,Kurdock
paula_lynn,the_cotton_club,dancer,Paula,Lynn
delores_mcharris,the_cotton_club,dancer,Delores,McHarris
vody_najac,the_cotton_club,dancer,Vody,Najac
vya_negromonte,the_cotton_club,dancer,Vya,Negromonte
alice_anne_oates,the_cotton_club,dancer,Alice,Oates
anne_palmer,the_cotton_club,dancer,Anne,Palmer
julie_pars,the_cotton_club,dancer,Julie,Pars
antonia_pettiford,the_cotton_club,dancer,Antonia,Pettiford
valarie_pettiford,the_cotton_club,dancer,Valarie,Pettiford
janet_powell,the_cotton_club,dancer,Janet,Powell
renee_rodriguez,the_cotton_club,dancer,Renee,Rodriguez
tracey_ross,the_cotton_club,dancer,Tracey,Ross
kiki_shepard,the_cotton_club,dancer,Kiki,Shepard
rima_vetter,the_cotton_club,dancer,Rima,Vetter
karen_wadkins,the_cotton_club,dancer,Karen,Wadkins
alexis_wilson,the_cotton_club,dancer,Alexis,Wilson
suzanne_kaaren,the_cotton_club,the_duchess_of_park_avenue,Suzanne,Kaaren
angela_lindvall,cq,dragonfly_valentine,Angela,Lindvall
lodie_bouchez,cq,marlene,Lodie,Bouchez
natalia_vodianova,cq,brigit,Natalia,Vodianova
sascha_ley,cq,fantasy_critic,Sascha,Ley
greta_seacat,cq,festival_critic,Greta,Seacat
barbara_sarafian,cq,festival_critic,Barbara,Sarafian
diana_gartner,cq,cute_model_at_party,Diana,Gartner
st_phanie_gesnel,cq,actress_at_party,St,Gesnel
ann_maes,cq,vampire_actress,Ann,Maes
gintare_parulyte,cq,vampire_actress,Gintare,Parulyte
caroline_lies,cq,vampire_actress,Caroline,Lies
stoyanka_tanya_gospodinova,cq,vampire_actress,Stoyanka,Gospodinova
magali_dahan,cq,vampire_actress,Magali,Dahan
natalie_broker,cq,vampire_actress,Natalie,Broker
wanda_perdelwitz,cq,vampire_actress,Wanda,Perdelwitz
federica_citarella,cq,talkative_girl,Federica,Citarella
corinne_terenzi,cq,teen_lover,Corinne,Terenzi
sofia_coppola,cq,enzo_s_mistress,Sofia,Coppola
caroline_colombini,cq,girl_in_miniskirt,Caroline,Colombini
rosa_pianeta,cq,woman_in_fiat,Rosa,Pianeta
louise_lasser,crimewave,helene_trend,Louise,Lasser
sheree_j_wilson,crimewave,nancy,Sheree,Wilson
carrie_hall,crimewave,cheap_dish,Carrie,Hall
bridget_hoffman,crimewave,nun,Bridget,Hoffman
ann_marie_gillis,crimewave,nun,Ann,Gillis
frances_mcdormand,crimewave,nun,Frances,McDormand
carol_brinn,crimewave,old_woman,Carol,Brinn
julie_harris,crimewave,,Julie,Harris
evelyn_cox,down_from_the_mountain,herself,Evelyn,Cox
suzanne_cox,down_from_the_mountain,herself,Suzanne,Cox
emmylou_harris,down_from_the_mountain,herself,Emmylou,Harris
alison_krauss,down_from_the_mountain,herself,Alison,Krauss
hannah_peasall,down_from_the_mountain,herself,Hannah,Peasall
leah_peasall,down_from_the_mountain,herself,Leah,Peasall
sarah_peasall,down_from_the_mountain,herself,Sarah,Peasall
gillian_welch,down_from_the_mountain,herself,Gillian,Welch
cheryl_white,down_from_the_mountain,herself,Cheryl,White
sharon_white,down_from_the_mountain,herself,Sharon,White
holly_hunter,down_from_the_mountain,herself,Holly,Hunter
tamara_trexler,down_from_the_mountain,audience_member,Tamara,Trexler
jurnee_smollett_bell,the_great_debaters,samantha_booke,Jurnee,Bell
jermaine_williams,the_great_debaters,hamilton_burgess,Jermaine,Williams
gina_ravera,the_great_debaters,ruth_tolson,Gina,Ravera
kristin_rudr_d,fargo,jean_lundegaard,Kristin,D
sally_wingert,fargo,irate_customer_s_wife,Sally,Wingert
larissa_kokernot,fargo,hooker_1,Larissa,Kokernot
melissa_peterman,fargo,hooker_2,Melissa,Peterman
sharon_anderson,fargo,morning_show_hostess,Sharon,Anderson
michelle_suzanne_ledoux,fargo,victim_in_car,Michelle,LeDoux
frances_mcdormand,fargo,marge_gunderson,Frances,McDormand
petra_boden,fargo,cashier,Petra,Boden
jessica_shepherd,fargo,hotel_clerk,Jessica,Shepherd
michelle_hutchison,fargo,escort,Michelle,Hutchison
rose_stockton,fargo,valerie,Rose,Stockton
jeanne_tripplehorn,the_firm,abby_mcdeere,Jeanne,Tripplehorn
holly_hunter,the_firm,tammy_hemphill,Holly,Hunter
barbara_garrick,the_firm,kay_quinn,Barbara,Garrick
karina_lombard,the_firm,young_woman_on_beach,Karina,Lombard
margo_martindale,the_firm,nina_huff,Margo,Martindale
debbie_turner,the_firm,rental_agent,Debbie,Turner
janie_paris,the_firm,madge,Janie,Paris
susan_elliott,the_firm,river_museum_guide,Susan,Elliott
erin_branham,the_firm,river_museum_guide,Erin,Branham
joey_anderson,the_firm,ruth,Joey,Anderson
deborah_thomas,the_firm,quinns_maid,Deborah,Thomas
rebecca_glenn,the_firm,young_woman_at_patio_bar,Rebecca,Glenn
terri_welles,the_firm,woman_dancing_with_avery,Terri,Welles
