vincent_jerosa,the_cotton_club,james_cagney,Vincent,Jerosa,vincent_jerosathe_cotton_clubjames_cagney
steve_cafiso,the_cotton_club,child_in_street,Steve,Cafiso,steve_cafisothe_cotton_clubchild_in_street
john_cafiso,the_cotton_club,child_in_street,John,Cafiso,john_cafisothe_cotton_clubchild_in_street
christopher_lewis,the_cotton_club,child_in_street,Christopher,Lewis,christopher_lewisthe_cotton_clubchild_in_street
jason_papalardo,the_cotton_club,child_in_street,Jason,Papalardo,jason_papalardothe_cotton_clubchild_in_street
demetrius_pena,the_cotton_club,child_in_street,Demetrius,Pena,demetrius_penathe_cotton_clubchild_in_street
james_buster_brown,the_cotton_club,hoofer,James,Brown,james_buster_brownthe_cotton_clubhoofer
ralph_brown,the_cotton_club,hoofer,Ralph,Brown,ralph_brownthe_cotton_clubhoofer
harold_cromer,the_cotton_club,hoofer,Harold,Cromer,harold_cromerthe_cotton_clubhoofer
bubba_gaines,the_cotton_club,hoofer,Bubba,Gaines,bubba_gainesthe_cotton_clubhoofer
george_hillman,the_cotton_club,hoofer,George,Hillman,george_hillmanthe_cotton_clubhoofer
henry_phace_roberts,the_cotton_club,hoofer,Henry,Roberts,henry_phace_robertsthe_cotton_clubhoofer
howard_sandman_sims,the_cotton_club,hoofer,Howard,Sims,howard_sandman_simsthe_cotton_clubhoofer
jimmy_slyde,the_cotton_club,hoofer,Jimmy,Slyde,jimmy_slydethe_cotton_clubhoofer
henry_letang,the_cotton_club,hoofer,Henry,LeTang,henry_letangthe_cotton_clubhoofer
charles_young,the_cotton_club,hoofer,Charles,Young,charles_youngthe_cotton_clubhoofer
skip_cunningham,the_cotton_club,tip_tap__toe,Skip,Cunningham,skip_cunninghamthe_cotton_clubtip_tap__toe
luther_fontaine,the_cotton_club,tip_tap__toe,Luther,Fontaine,luther_fontainethe_cotton_clubtip_tap__toe
jan_mickens,the_cotton_club,tip_tap__toe,Jan,Mickens,jan_mickensthe_cotton_clubtip_tap__toe
lester_brown,the_cotton_club,dancer,Lester,Brown,lester_brownthe_cotton_clubdancer
benny_clorey,the_cotton_club,dancer,Benny,Clorey,benny_cloreythe_cotton_clubdancer
ruddy_l_garner,the_cotton_club,dancer,Ruddy,Garner,ruddy_l_garnerthe_cotton_clubdancer
dave_jackson,the_cotton_club,dancer,Dave,Jackson,dave_jacksonthe_cotton_clubdancer
alde_lewis,the_cotton_club,dancer,Alde,Lewis,alde_lewisthe_cotton_clubdancer
bernard_manners,the_cotton_club,dancer,Bernard,Manners,bernard_mannersthe_cotton_clubdancer
bernard_marsh,the_cotton_club,dancer,Bernard,Marsh,bernard_marshthe_cotton_clubdancer
david_mcharris,the_cotton_club,dancer,David,McHarris,david_mcharristhe_cotton_clubdancer
gary_thomas,the_cotton_club,dancer,Gary,Thomas,gary_thomasthe_cotton_clubdancer
mario_van_peebles,the_cotton_club,dancer,Mario,Peebles,mario_van_peeblesthe_cotton_clubdancer
